MSOA11CD,MSOA11NM,MSOA_2011_EW_PWC_COORD_V2_BNGEAST,MSOA_2011_EW_PWC_COORD_V2_BNGNORTH,MSOA_2011_EW_PWC_COORD_V2_LONGITUDE,MSOA_2011_EW_PWC_COORD_V2_LATITUDE
E02006854,Tower Hamlets 033,537177,179927,-0.025046237,51.50164399
E02000041,Barnet 018,519769,191959,-0.271618772,51.61373123
E02000043,Barnet 020,525216,191805,-0.193048379,51.61116302
E02000868,Tower Hamlets 005,534503,183040,-0.062352211,51.5302552
E02000045,Barnet 022,528299,191218,-0.14875307,51.60519337
E02000042,Barnet 019,526247,191945,-0.17811783,51.61219159
E02000047,Barnet 024,520362,190826,-0.263441558,51.60342174
E02000044,Barnet 021,520965,191510,-0.254505438,51.6094363
E02000861,Sutton 022,526937,162910,-0.178572701,51.35109844
E02000046,Barnet 023,525529,190836,-0.188866845,51.60238415
E02000865,Tower Hamlets 002,535052,183234,-0.054375505,51.53186787
E02000863,Sutton 024,529265,162251,-0.145404648,51.34464772
E02000365,Hackney 021,533534,184480,-0.075775516,51.5434262
E02000362,Hackney 018,536515,184853,-0.032661515,51.54606886
E02000367,Hackney 023,535026,183967,-0.054462104,51.5384586
E02000364,Hackney 020,534205,184645,-0.066043725,51.54475156
E02000546,Hounslow 021,512691,174854,-0.379266909,51.46145519
E02000547,Hounslow 022,509895,174137,-0.419714246,51.45555306
E02000238,Ealing 001,514592,185177,-0.348558078,51.55384677
E02000239,Ealing 002,515936,185019,-0.329236972,51.55215982
E02000230,Croydon 037,531587,161721,-0.112286627,51.33935204
E02000231,Croydon 038,530121,160901,-0.133620988,51.33232602
E02000232,Croydon 039,534712,160296,-0.067991199,51.32582302
E02000233,Croydon 040,531892,160242,-0.108459209,51.3259964
E02000234,Croydon 041,530552,159832,-0.127818081,51.32261889
E02000235,Croydon 042,532822,159682,-0.095322319,51.32074924
E02000236,Croydon 043,528927,159167,-0.151368499,51.3170137
E02000237,Croydon 044,531277,157743,-0.118188962,51.30367516
E02000953,Wandsworth 031,526387,172346,-0.183112603,51.43602219
E02000950,Wandsworth 028,524053,172932,-0.216473624,51.44180827
E02000954,Wandsworth 032,527840,172010,-0.162348358,51.43267961
E02000955,Wandsworth 033,527766,171695,-0.163523252,51.42986304
E02000956,Wandsworth 034,526977,171552,-0.174917172,51.4287597
E02000957,Wandsworth 035,527701,171071,-0.164681886,51.4242662
E02000678,Lewisham 026,539767,172464,0.009296737,51.43394233
E02000679,Lewisham 027,535883,172376,-0.04656772,51.43409981
E02000670,Lewisham 018,538134,173773,-0.013664882,51.44610837
E02000671,Lewisham 019,536200,173773,-0.041481613,51.44657117
E02000672,Lewisham 020,537387,173713,-0.024437877,51.44574488
E02000673,Lewisham 021,535249,173536,-0.055246607,51.44467423
E02000674,Lewisham 022,538934,173258,-0.002356578,51.44128002
E02000675,Lewisham 023,540383,173266,0.018468572,51.44099792
E02000676,Lewisham 024,536197,172982,-0.041820627,51.43947113
E02000677,Lewisham 025,538192,172909,-0.013173687,51.43832657
E02000867,Tower Hamlets 004,537133,183132,-0.02442567,51.53044686
E02000864,Tower Hamlets 001,536770,183632,-0.029458912,51.53502887
E02000139,Bromley 013,536093,169442,-0.044681286,51.40767745
E02000866,Tower Hamlets 003,536318,183168,-0.036152052,51.53096764
E02000959,Wandsworth 037,529263,170899,-0.1422965,51.42237088
E02000138,Bromley 012,537989,169498,-0.017411664,51.4077284
E02000958,Wandsworth 036,528777,171070,-0.14921914,51.42401516
E02000131,Bromley 005,534244,170366,-0.0709021,51.41642313
E02000133,Bromley 007,543083,169917,0.055938568,51.410234
E02000130,Bromley 004,535647,170587,-0.050652931,51.41807769
E02000135,Bromley 009,534981,169929,-0.060477374,51.41232594
E02000132,Bromley 006,537208,170176,-0.028368798,51.41400546
E02000137,Bromley 011,539025,169376,-0.002579855,51.40637292
E02000134,Bromley 008,540295,169983,0.015914777,51.41152188
E02000951,Wandsworth 029,528127,172590,-0.158002166,51.43782314
E02000136,Bromley 010,545781,169466,0.094532748,51.40549103
E02000707,Merton 019,530077,168245,-0.131567548,51.39833418
E02000786,Richmond upon Thames 003,521395,175899,-0.25368127,51.46904225
E02000706,Merton 018,527364,168988,-0.170276479,51.40562775
E02000787,Richmond upon Thames 004,519245,175806,-0.284648646,51.46866884
E02000468,Havering 005,549601,191502,0.158739217,51.6024947
E02000469,Havering 006,553081,191117,0.208779758,51.59810107
E02000460,Harrow 028,513295,186629,-0.366793252,51.56715918
E02000461,Harrow 029,515165,186682,-0.339809189,51.56726441
E02000462,Harrow 030,513835,185946,-0.359224067,51.5609195
E02000463,Harrow 031,512770,185822,-0.37461957,51.56001104
E02000464,Havering 001,553728,192702,0.21881716,51.61216469
E02000465,Havering 002,554998,191930,0.236801148,51.6048786
E02000466,Havering 003,550509,191870,0.172009246,51.60555827
E02000467,Havering 004,553712,191798,0.218188848,51.6040457
E02000558,Islington 005,530954,186513,-0.112200016,51.56229652
E02000559,Islington 006,531680,186206,-0.101848254,51.55937599
E02000709,Merton 021,524233,168031,-0.215592683,51.39771744
E02000788,Richmond upon Thames 005,520399,175445,-0.268172424,51.46517412
E02000708,Merton 020,522778,168002,-0.236516013,51.39777645
E02000789,Richmond upon Thames 006,518621,174834,-0.293949379,51.46006361
E02000701,Merton 013,528116,169419,-0.15931671,51.40933469
E02000780,Redbridge 030,544364,186162,0.080980217,51.55587373
E02000700,Merton 012,526631,169377,-0.18066844,51.40928356
E02000781,Redbridge 031,545450,185985,0.096564384,51.55400632
E02000703,Merton 015,525123,169055,-0.202446037,51.40673032
E02000782,Redbridge 032,543769,185616,0.0721865,51.55111844
E02000702,Merton 014,528817,169246,-0.149307586,51.40761499
E02000783,Redbridge 033,544190,185167,0.078075294,51.54697614
E02000705,Merton 017,529568,169045,-0.138588513,51.40564242
E02000784,Richmond upon Thames 001,522355,177206,-0.239409061,51.4805878
E02000704,Merton 016,523272,169098,-0.22903836,51.40751508
E02000785,Richmond upon Thames 002,519016,176595,-0.287678984,51.47580399
E02000282,Enfield 006,535164,197857,-0.047121719,51.66324938
E02000203,Croydon 010,532323,168156,-0.099328332,51.39701176
E02000283,Enfield 007,535886,197555,-0.036819253,51.66035516
E02000202,Croydon 009,531518,168335,-0.110822272,51.39881364
E02000204,Croydon 011,531066,167901,-0.117484192,51.39501494
E02000284,Enfield 008,532464,197401,-0.086314511,51.65978752
E02000207,Croydon 014,534415,167427,-0.069556879,51.38997532
E02000285,Enfield 009,533466,197350,-0.071850916,51.65909863
E02000206,Croydon 013,532891,167601,-0.091384224,51.39189574
E02000286,Enfield 010,531696,197056,-0.097542901,51.65686985
E02000369,Hackney 025,533273,183660,-0.079841262,51.53611971
E02000287,Enfield 011,527852,196737,-0.153190926,51.65489148
E02000361,Hackney 017,534938,184981,-0.055349793,51.54759957
E02000368,Hackney 024,534154,183711,-0.067133616,51.53637078
E02000363,Hackney 019,535569,184822,-0.046308384,51.54601768
E02000360,Hackney 016,534316,185334,-0.064170624,51.55091926
E02000550,Hounslow 025,510151,173005,-0.416385287,51.44533264
E02000551,Hounslow 026,512446,172407,-0.383571398,51.43950534
E02000552,Hounslow 027,509823,172107,-0.421377384,51.43732665
E02000553,Hounslow 028,511931,171528,-0.391251549,51.43170803
E02000554,Islington 001,530235,187428,-0.122222632,51.57069129
E02000555,Islington 002,529652,187177,-0.130727107,51.56856929
E02000556,Islington 003,530511,186885,-0.118441785,51.56574861
E02000557,Islington 004,529272,186548,-0.13643033,51.56300646
E02000288,Enfield 012,535206,196309,-0.047118096,51.64932488
E02000209,Croydon 016,530646,167008,-0.123843141,51.38708593
E02000289,Enfield 013,530302,196141,-0.118019018,51.64897444
E02000208,Croydon 015,531821,167121,-0.106925146,51.38783196
E02000280,Enfield 004,532581,198107,-0.08435835,51.66610381
E02000201,Croydon 008,534372,168456,-0.069776357,51.39922989
E02000281,Enfield 005,534130,197947,-0.062039203,51.66430406
E02000200,Croydon 007,533621,168696,-0.080475617,51.40156564
E02000026,Barnet 003,527532,196140,-0.158036731,51.64959749
E02000841,Sutton 002,526340,166448,-0.185884761,51.38303165
E02000843,Sutton 004,528097,166013,-0.160811692,51.37872291
E02000840,Sutton 001,527292,166778,-0.172096737,51.38577789
E02000845,Sutton 006,522695,165999,-0.238393643,51.37978983
E02000842,Sutton 003,524661,166195,-0.210094474,51.38112402
E02000847,Sutton 008,523226,165468,-0.230954246,51.37490834
E02000844,Sutton 005,527365,165819,-0.171389524,51.37714753
E02000198,Croydon 005,532299,169104,-0.099323984,51.40554251
E02000846,Sutton 007,525753,165537,-0.19464061,51.37497124
E02000199,Croydon 006,532783,168847,-0.092461684,51.4031186
E02000119,Brent 027,520692,183937,-0.261043653,51.54143365
E02000939,Wandsworth 017,528124,174292,-0.157443604,51.4531212
E02000118,Brent 026,518643,184217,-0.290487798,51.54438543
E02000111,Brent 019,517744,185006,-0.303176642,51.55166601
E02000190,Camden 025,530190,182522,-0.124685141,51.52660876
E02000374,Hammersmith and Fulham 003,522209,180383,-0.240417394,51.50917166
E02000375,Hammersmith and Fulham 004,523176,180207,-0.226551252,51.50737409
E02000376,Hammersmith and Fulham 005,522863,179813,-0.231194478,51.50390978
E02000377,Hammersmith and Fulham 006,522225,179785,-0.240388618,51.50379166
E02000028,Barnet 005,526182,195560,-0.177748895,51.64469313
E02000029,Barnet 006,527101,195397,-0.16452801,51.64301608
E02000848,Sutton 009,524134,165047,-0.218060616,51.37091904
E02000849,Sutton 010,528701,164859,-0.152557644,51.36821395
E02000020,Barking and Dagenham 019,545363,183615,0.094335797,51.53273288
E02000021,Barking and Dagenham 020,549589,183619,0.155212371,51.53166755
E02000023,Barking and Dagenham 022,546462,183149,0.109978396,51.52826327
E02006836,Sutton 025,525137,162331,-0.20462325,51.34629691
E02000025,Barnet 002,525934,196379,-0.181030108,51.65210887
E02000022,Barking and Dagenham 021,544519,183531,0.082145125,51.5321926
E02000027,Barnet 004,524383,195563,-0.203730652,51.64511956
E02000024,Barnet 001,524353,196580,-0.203799635,51.65426708
E02000933,Wandsworth 011,523071,175110,-0.229842674,51.46159217
E02000930,Wandsworth 008,527525,175617,-0.165575173,51.46516066
E02000935,Wandsworth 013,521758,174323,-0.248991653,51.45480798
E02000932,Wandsworth 010,524785,175086,-0.205189178,51.4610008
E02000937,Wandsworth 015,527527,174474,-0.165954328,51.45489305
E02000934,Wandsworth 012,526620,175083,-0.178790998,51.46056865
E02000659,Lewisham 007,538475,176136,-0.00784066,51.46726151
E02000936,Wandsworth 014,524077,174514,-0.215579304,51.45601903
E02000651,Lambeth 034,530268,170422,-0.12801655,51.41785181
E02000658,Lewisham 006,535723,176590,-0.047260971,51.47200223
E02000653,Lewisham 001,536305,178553,-0.038129481,51.48949974
E02000650,Lambeth 033,533101,171137,-0.087030638,51.42361938
E02000655,Lewisham 003,535702,177426,-0.047234694,51.47951819
E02000652,Lambeth 035,529586,170127,-0.137932807,51.41536367
E02000657,Lewisham 005,536757,176585,-0.032380013,51.47170547
E02000654,Lewisham 002,536764,177846,-0.03178993,51.48303718
E02000191,Camden 026,529507,182033,-0.134703098,51.52237256
E02000938,Wandsworth 016,522920,174308,-0.232284116,51.45442078
E02000192,Camden 027,530979,182007,-0.113507654,51.5217968
E02000110,Brent 018,522733,185255,-0.231172054,51.55284424
E02000193,Camden 028,530247,181536,-0.124229165,51.51773617
E02000113,Brent 021,520527,184782,-0.263133671,51.54906707
E02000194,Croydon 001,533166,170294,-0.086410437,51.41603143
E02000112,Brent 020,518854,185057,-0.287161423,51.55189083
E02000195,Croydon 002,531945,170219,-0.10398943,51.41563887
E02000115,Brent 023,524153,184624,-0.210923748,51.54686413
