"","OLS","OLS 95CI_L","OLS 95CI_U","OLS with Spillovers","OLS with Spillovers 95CI_L","OLS with Spillovers 95CI_U","LWR Min","LWR 25%","LWR 50%","LWR 75%","LWR Max"
"(Intercept)",2.404,2.142,2.667,1.33,1.073,1.587,-2.414,0.616,1.474,2.44,14.23
"dv_local_mean",NA,NA,NA,0.521,0.487,0.556,-0.117,0.225,0.336,0.46,0.959
"transfers",0.479,0.394,0.564,0.285,0.204,0.366,-2.27,0.085,0.296,0.505,1.519
"dist_bus",0.386,0.347,0.425,0.253,0.215,0.29,-1.009,0.221,0.348,0.52,1.863
"dist_coach",-0.101,-1.821,1.619,-0.541,-2.161,1.079,-12.458,-10.794,-1.11,-0.734,1.35
"dist_dlr",-0.09,-0.128,-0.052,-0.07,-0.106,-0.034,-1.231,-0.142,-0.065,0,0.81
"dist_nationalrail",0.057,0.045,0.069,0.025,0.014,0.036,-0.122,-0.016,0.029,0.095,0.425
"dist_overground",0.024,-0.009,0.056,0,-0.031,0.031,-2.051,-0.109,-0.017,0.085,3.501
"dist_riverbus",0.263,-0.516,1.043,0.276,-0.458,1.01,-0.31,-0.203,0.501,0.729,0.903
"dist_tflrail",0.006,-0.016,0.028,0.012,-0.008,0.033,-0.311,-0.044,0.007,0.061,0.536
"dist_tram",-0.208,-0.315,-0.101,-0.217,-0.318,-0.116,-2.808,-0.353,-0.195,0.092,6.637
"dist_tube",-0.037,-0.047,-0.027,-0.024,-0.033,-0.014,-0.153,-0.051,-0.028,-0.008,0.09
"dist_walking",0.178,0.009,0.348,-0.113,-0.274,0.047,-5.627,-0.347,0.098,0.457,2.13
