Stat-Xplore

"Alternative Claimant Count (I)"
"National - Regional - LA - OAs by Month"
"Counting: Alternative Claimant Count"

Filters:
"Default Summation","Alternative Claimant Count"

"Month","December 2017","December 2017 - Annotations","February 2019","February 2019 - Annotations",
"National - Regional - LA - OAs",
"Camden 001",176,,174,,
"Camden 002",35,,42,,
"Camden 003",129,,135,,
"Camden 004",56,,66,,
"Camden 005",134,,124,,
"Camden 006",143,,160,,
"Camden 007",284,,304,,
"Camden 008",93,,79,,
"Camden 009",181,,198,,
"Camden 010",180,,186,,
"Camden 011",45,,59,,
"Camden 012",263,,214,,
"Camden 013",240,,273,,
"Camden 014",136,,150,,
"Camden 015",187,,215,,
"Camden 016",95,,94,,
"Camden 017",103,,97,,
"Camden 018",148,,141,,
"Camden 019",299,,239,,
"Camden 020",300,,267,,
"Camden 021",168,,168,,
"Camden 022",291,,321,,
"Camden 023",271,,253,,
"Camden 024",173,,186,,
"Camden 025",173,,172,,
"Camden 026",108,,85,,
"Camden 027",202,,249,,
"Camden 028",110,,120,,
"City of London 001",89,,77,,
"Hackney 001",260,,240,,
"Hackney 002",372,,344,,
"Hackney 003",235,,266,,
"Hackney 004",303,,308,,
"Hackney 006",252,,254,,
"Hackney 007",230,,237,,
"Hackney 008",183,,174,,
"Hackney 009",175,,174,,
"Hackney 010",341,,346,,
"Hackney 011",283,,311,,
"Hackney 012",153,,149,,
"Hackney 013",311,,316,,
"Hackney 014",362,,397,,
"Hackney 015",201,,203,,
"Hackney 016",464,,471,,
"Hackney 017",287,,288,,
"Hackney 018",274,,283,,
"Hackney 019",539,,538,,
"Hackney 020",294,,308,,
"Hackney 021",372,,376,,
"Hackney 022",311,,312,,
"Hackney 023",318,,343,,
"Hackney 024",380,,373,,
"Hackney 025",440,,435,,
"Hackney 026",306,,289,,
"Hackney 027",311,,297,,
"Hackney 028",282,,323,,
"Hackney 029",324,,325,,
"Hammersmith and Fulham 001",332,,338,,
"Hammersmith and Fulham 002",331,,360,,
"Hammersmith and Fulham 003",199,,225,,
"Hammersmith and Fulham 004",225,,293,,
"Hammersmith and Fulham 005",305,,322,,
"Hammersmith and Fulham 006",296,,307,,
"Hammersmith and Fulham 007",189,,218,,
"Hammersmith and Fulham 008",144,,162,,
"Hammersmith and Fulham 009",130,,136,,
"Hammersmith and Fulham 010",239,,221,,
"Hammersmith and Fulham 011",124,,135,,
"Hammersmith and Fulham 012",225,,213,,
"Hammersmith and Fulham 013",237,,261,,
"Hammersmith and Fulham 014",115,,121,,
"Hammersmith and Fulham 015",288,,286,,
"Hammersmith and Fulham 016",148,,165,,
"Hammersmith and Fulham 017",173,,157,,
"Hammersmith and Fulham 018",103,,110,,
"Hammersmith and Fulham 019",152,,147,,
"Hammersmith and Fulham 020",107,,128,,
"Hammersmith and Fulham 021",175,,193,,
"Hammersmith and Fulham 022",57,,53,,
"Hammersmith and Fulham 023",196,,204,,
"Hammersmith and Fulham 024",60,,61,,
"Hammersmith and Fulham 025",140,,151,,
"Haringey 001",236,,225,,
"Haringey 002",450,,459,,
"Haringey 004",174,,189,,
"Haringey 005",228,,223,,
"Haringey 006",249,,229,,
"Haringey 007",196,,167,,
"Haringey 008",238,,224,,
"Haringey 009",66,,67,,
"Haringey 010",211,,200,,
"Haringey 011",320,,334,,
"Haringey 012",333,,335,,
"Haringey 013",282,,263,,
"Haringey 014",83,,67,,
"Haringey 015",354,,344,,
"Haringey 016",239,,232,,
"Haringey 017",109,,109,,
"Haringey 018",238,,253,,
"Haringey 019",176,,178,,
"Haringey 020",221,,202,,
"Haringey 021",73,,68,,
"Haringey 022",61,,51,,
"Haringey 023",216,,218,,
"Haringey 024",271,,283,,
"Haringey 025",324,,301,,
"Haringey 026",236,,260,,
"Haringey 027",157,,144,,
"Haringey 028",254,,230,,
"Haringey 029",168,,166,,
"Haringey 030",94,,88,,
"Haringey 031",174,,169,,
"Haringey 032",272,,283,,
"Haringey 033",83,,69,,
"Haringey 034",130,,111,,
"Haringey 035",83,,88,,
"Haringey 036",155,,146,,
"Haringey 037",388,,367,,
"Islington 001",386,,371,,
"Islington 002",270,,313,,
"Islington 003",358,,357,,
"Islington 004",263,,249,,
"Islington 005",433,,473,,
"Islington 006",182,,171,,
"Islington 007",159,,175,,
"Islington 008",149,,159,,
"Islington 009",216,,235,,
"Islington 010",291,,305,,
"Islington 011",324,,344,,
"Islington 012",261,,262,,
"Islington 013",161,,182,,
"Islington 014",240,,253,,
"Islington 015",327,,347,,
"Islington 016",263,,293,,
"Islington 017",118,,138,,
"Islington 018",238,,242,,
"Islington 019",288,,282,,
"Islington 020",157,,148,,
"Islington 021",194,,264,,
"Islington 022",277,,282,,
"Islington 023",301,,323,,
"Kensington and Chelsea 001",315,,296,,
"Kensington and Chelsea 002",210,,199,,
"Kensington and Chelsea 003",211,,211,,
"Kensington and Chelsea 004",285,,245,,
"Kensington and Chelsea 005",235,,234,,
"Kensington and Chelsea 006",104,,103,,
"Kensington and Chelsea 007",94,,91,,
"Kensington and Chelsea 008",58,,50,,
"Kensington and Chelsea 009",148,,138,,
"Kensington and Chelsea 010",29,,39,,
"Kensington and Chelsea 011",51,,70,,
"Kensington and Chelsea 012",33,,30,,
"Kensington and Chelsea 013",143,,140,,
"Kensington and Chelsea 014",133,,134,,
"Kensington and Chelsea 015",161,,169,,
"Kensington and Chelsea 016",49,,56,,
"Kensington and Chelsea 017",150,,167,,
"Kensington and Chelsea 018",76,,92,,
"Kensington and Chelsea 019",85,,86,,
"Kensington and Chelsea 020",69,,75,,
"Kensington and Chelsea 021",233,,221,,
"Lambeth 002",300,,302,,
"Lambeth 003",312,,313,,
"Lambeth 004",281,,312,,
"Lambeth 005",233,,236,,
"Lambeth 006",260,,291,,
"Lambeth 007",241,,297,,
"Lambeth 008",289,,329,,
"Lambeth 009",436,,384,,
"Lambeth 010",347,,371,,
"Lambeth 011",396,,396,,
"Lambeth 012",177,,209,,
"Lambeth 013",165,,166,,
"Lambeth 014",234,,249,,
"Lambeth 015",181,,175,,
"Lambeth 016",303,,296,,
"Lambeth 017",223,,221,,
"Lambeth 018",273,,269,,
"Lambeth 019",84,,97,,
"Lambeth 020",203,,203,,
"Lambeth 021",273,,274,,
"Lambeth 022",255,,274,,
"Lambeth 023",190,,180,,
"Lambeth 024",344,,389,,
"Lambeth 025",219,,255,,
"Lambeth 026",184,,194,,
"Lambeth 027",204,,224,,
"Lambeth 028",244,,237,,
"Lambeth 029",187,,223,,
"Lambeth 030",177,,213,,
"Lambeth 031",319,,331,,
"Lambeth 032",318,,358,,
"Lambeth 033",252,,266,,
"Lambeth 034",228,,243,,
"Lambeth 035",167,,161,,
"Lambeth 036",190,,175,,
"Lewisham 001",354,,373,,
"Lewisham 002",324,,351,,
"Lewisham 003",292,,286,,
"Lewisham 005",262,,295,,
"Lewisham 006",206,,242,,
"Lewisham 007",162,,178,,
"Lewisham 008",213,,222,,
"Lewisham 009",150,,118,,
"Lewisham 010",234,,271,,
"Lewisham 011",182,,144,,
"Lewisham 012",413,,457,,
"Lewisham 013",172,,175,,
"Lewisham 014",154,,161,,
"Lewisham 015",99,,103,,
"Lewisham 016",114,,92,,
"Lewisham 017",193,,209,,
"Lewisham 018",228,,228,,
"Lewisham 019",189,,191,,
"Lewisham 020",338,,328,,
"Lewisham 021",143,,160,,
"Lewisham 022",157,,183,,
"Lewisham 023",170,,159,,
"Lewisham 024",160,,137,,
"Lewisham 025",161,,154,,
"Lewisham 026",168,,213,,
"Lewisham 027",267,,281,,
"Lewisham 028",247,,280,,
"Lewisham 029",309,,295,,
"Lewisham 030",266,,288,,
"Lewisham 031",182,,211,,
"Lewisham 033",241,,274,,
"Lewisham 034",284,,301,,
"Lewisham 035",228,,237,,
"Lewisham 037",247,,264,,
"Lewisham 038",172,,218,,
"Lewisham 039",316,,352,,
"Newham 001",188,,217,,
"Newham 002",206,,193,,
"Newham 003",202,,229,,
"Newham 004",241,,232,,
"Newham 005",218,,215,,
"Newham 006",217,,232,,
"Newham 007",188,,193,,
"Newham 008",302,,308,,
"Newham 009",272,,282,,
"Newham 010",236,,216,,
"Newham 011",268,,261,,
"Newham 012",250,,272,,
"Newham 013",335,,351,,
"Newham 014",218,,200,,
"Newham 015",190,,197,,
